resample_name,fold,HR_average,HR_datailed,HF_average,HF_datailed,HP_average,HP_datailed
None,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
None,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
None,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
None,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
None,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
ros,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
ros,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
ros,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
ros,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
ros,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
smote,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
smote,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
borderline,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
borderline,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
borderline,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
borderline,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
borderline,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
adasyn,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
adasyn,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
adasyn,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
adasyn,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
adasyn,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
smote-enn,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote-enn,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote-enn,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote-enn,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
smote-enn,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
smote-tomek,0,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote-tomek,1,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote-tomek,2,0.8135593220338984,", 0.8135593220338984",0.7299223823855536,", 0.7299223823855536",0.6618787704682563,", 0.6618787704682563"
smote-tomek,3,0.8050847457627118,", 0.8050847457627118",0.7181507121827007,", 0.7181507121827007",0.6481614478598103,", 0.6481614478598103"
smote-tomek,4,0.8205128205128205,", 0.8205128205128205",0.7396171903214157,", 0.7396171903214157",0.673241288625904,", 0.673241288625904"
